POI_ID;ADDRESS;"﻿""DESCRIPTION""";NAME;GeoJSON;geo_point_2d
740;;Airport;GANANOQUE AIRPORT;"{""type"": ""Point"", ""coordinates"": [-76.24477998653335, 44.40137050637109]}";44.4013705064,-76.2447799865
744;1 HOWE ISLAND DR;Ferry Dock;HOWE ISLAND FERRY DOCK;"{""type"": ""Point"", ""coordinates"": [-76.32620139801315, 44.273580544849615]}";44.2735805448,-76.326201398
749;792 HENDERSON BLVD;Washroom;LAKESHORE SWIMMING POOL WASHROOM;"{""type"": ""Point"", ""coordinates"": [-76.5780128199409, 44.22878468498956]}";44.228784685,-76.5780128199
756;1648 JOYCEVILLE RD;Washroom;PIERSON PARK WASHROOM;"{""type"": ""Point"", ""coordinates"": [-76.33019934442912, 44.30279276627849]}";44.3027927663,-76.3301993444
757;750 INNOVATION DR;Washroom;J. MACHEN SPORTS FIELDS WASHROOM;"{""type"": ""Point"", ""coordinates"": [-76.4349208164246, 44.27260215396226]}";44.272602154,-76.4349208164
760;33 BAGOT ST;Washroom (M);CITY PARK - RECREATION FIELD HOUSE WASHROOM;"{""type"": ""Point"", ""coordinates"": [-76.48886192399577, 44.226140344663555]}";44.2261403447,-76.488861924
761;303 YORK ST;Washroom;KINGSTON MEMORIAL CENTRE WASHROOM;"{""type"": ""Point"", ""coordinates"": [-76.49920143733472, 44.23952815826669]}";44.2395281583,-76.4992014373
772;2991 2 HWY;Washroom;GRASS CREEK PARK WASHROOM;"{""type"": ""Point"", ""coordinates"": [-76.31109552892043, 44.29210503524812]}";44.2921050352,-76.3110955289
491;199 WILSON ST;Soccer Field;SHANNON PARK SOCCER FIELD;"{""type"": ""Point"", ""coordinates"": [-76.48530858657728, 44.26421771576094]}";44.2642177158,-76.4853085866
1108;360 KINGSTON MILLS RD;Park;MEADOWCREST PARK;"{""type"": ""Point"", ""coordinates"": [-76.4222296102241, 44.300942900285364]}";44.3009429003,-76.4222296102
151;31 FAIRCREST BLVD;Playground;RIVERSIDE CENTRAL PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.41045360367629, 44.24731140795263]}";44.247311408,-76.4104536037
505;1789 BATH RD;Soccer Field;FRONTENAC SECONDARY SCHOOL SOCCER FIELD;"{""type"": ""Point"", ""coordinates"": [-76.57650266192961, 44.23619922768544]}";44.2361992277,-76.5765026619
507;251 MCMAHON AVE;Soccer Field;LORD STRATHCONA PUBLIC SCHOOL SOCCER FIELD;"{""type"": ""Point"", ""coordinates"": [-76.52206904598623, 44.25088415468667]}";44.2508841547,-76.522069046
525;773 HWY 15;Soccer Field;LA SALLE HS SOCCER FIELD 3;"{""type"": ""Point"", ""coordinates"": [-76.45351874391814, 44.25406576551172]}";44.2540657655,-76.4535187439
527;1229 CARMIL BLVD;Soccer Field;HIGHGATE PARK SOCCER FIELD;"{""type"": ""Point"", ""coordinates"": [-76.60747600786392, 44.24873284764836]}";44.2487328476,-76.6074760079
533;9 DE LA MERITE DR;Soccer Field;ROYAL MILITARY COLLEGE OF CANADA SOCCER FIELD;"{""type"": ""Point"", ""coordinates"": [-76.46665602159526, 44.23539712337893]}";44.2353971234,-76.4666560216
535;704 MILFORD DR;Soccer Field;ASHTON PARK SOCCER FIELD 2;"{""type"": ""Point"", ""coordinates"": [-76.58126747046097, 44.24538910358122]}";44.2453891036,-76.5812674705
80;68 CLARENCE ST;Monument;BOUCHER PARK WW1 ARTILLERY MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.48264773430229, 44.22980063904863]}";44.229800639,-76.4826477343
73;33 BAGOT ST;Monument;CITY PARK CANON (RCHA 1);"{""type"": ""Point"", ""coordinates"": [-76.48975208362013, 44.22357809268874]}";44.2235780927,-76.4897520836
77;623 KING ST W;Monument;ABERDENE PARK HERITAGE PLAQUE;"{""type"": ""Point"", ""coordinates"": [-76.51739642158435, 44.22091550516985]}";44.2209155052,-76.5173964216
548;370 KINGSTON MILLS RD;Soccer Field;HOLY NAME ELEMENTARY SCHOOL SOCCER FIELD;"{""type"": ""Point"", ""coordinates"": [-76.42404232935387, 44.30139437741275]}";44.3013943774,-76.4240423294
